beta,HR,low,high,Z,pval
0.064140959,1.066242685,0.841108723,1.351636752,0.530046617,0.59607961
-0.071203692,0.93127218,0.697990072,1.24252179,-0.483989129,0.628393584
-0.01044917,0.989605232,0.789591425,1.240285146,-0.090703549,0.927728151
-0.013316845,0.986771432,0.790330799,1.232038357,-0.117576953,0.906402867
-0.134474733,0.874174967,0.624096213,1.22446164,-0.782149562,0.434126683
-0.040241024,0.960557894,0.743453939,1.241060702,-0.307840226,0.758203911
-0.033725653,0.966836717,0.742757041,1.258518175,-0.250705105,0.802042114
0.058117141,1.059839139,0.861885208,1.303258243,0.550942312,0.581673221
-0.095007376,0.909366227,0.690579366,1.19746835,-0.676597151,0.498661588
-0.051711812,0.949602491,0.723602595,1.24618803,-0.372895028,0.709226573
0.022599802,1.022857112,0.805103562,1.299505706,0.18503646,0.853200438
0.003387887,1.003393633,0.87019704,1.156977943,0.046622481,0.962814114
0.077620694,1.08071266,0.880395479,1.32660819,0.742098699,0.458027538
0.053666884,1.055133061,0.85574868,1.300972825,0.50220795,0.615521251
0.108336048,1.114422182,0.955862011,1.299284608,1.383488698,0.16651507
0.108377659,1.114468555,0.915670717,1.356426648,1.081130427,0.2796391
0.088795622,1.092857278,0.911200856,1.310728609,0.957360511,0.338385323
0.020950873,1.021171883,0.802329215,1.299705901,0.170253507,0.864810773
0.002643049,1.002646545,0.779872482,1.289057016,0.020616564,0.983551527
0.135112984,1.144666106,0.923126125,1.419373213,1.231118729,0.218278462
