"SUID","Matching.Attribute","name","selected","shared name"
"35258","RNASE3","RNASE3","false","RNASE3"
"35260","CCL23","CCL23","false","CCL23"
"35196","miR-29a-3p","miR-29a-3p","false","miR-29a-3p"
"35261","TNFRSF1A","TNFRSF1A","false","TNFRSF1A"
"35197","miR-150-5p","miR-150-5p","false","miR-150-5p"
"35198","miR-126-3p","miR-126-3p","false","miR-126-3p"
"35264","SPON1","SPON1","false","SPON1"
"35265","PLAT","PLAT","false","PLAT"
"35266","CD244","CD244","false","CD244"
"35207","miR-375","miR-375","false","miR-375"
"35272","NT-pro-BNP","NT-pro-BNP","false","NT-pro-BNP"
"35208","RNY5-5p","RNY5-5p","false","RNY5-5p"
"35209","miR-223-3p","miR-223-3p","false","miR-223-3p"
"35210","CXCL1","CXCL1","false","CXCL1"
"35212","miR-320a","miR-320a","false","miR-320a"
"35279","CCL8","CCL8","false","CCL8"
"35280","CCL7","CCL7","false","CCL7"
"35281","CCL3","CCL3","false","CCL3"
"35283","HGF","HGF","false","HGF"
"35221","miR-92a-3p","miR-92a-3p","false","miR-92a-3p"
"35222","miR-192-5p","miR-192-5p","false","miR-192-5p"
"35286","FABP4","FABP4","false","FABP4"
"35223","miR-574-3p","miR-574-3p","false","miR-574-3p"
"35289","CCL4","CCL4","false","CCL4"
"35226","miR-122-5p","miR-122-5p","false","miR-122-5p"
"35227","CD274","CD274","false","CD274"
"35230","IL10RA","IL10RA","false","IL10RA"
"35231","miR-223-5p","miR-223-5p","false","miR-223-5p"
"35235","miR-885-5p","miR-885-5p","false","miR-885-5p"
"35237","CSTB","CSTB","false","CSTB"
"35245","RNY4-5p","RNY4-5p","false","RNY4-5p"
"35246","RNY4-3p","RNY4-3p","false","RNY4-3p"
"35187","miR-486-5p","miR-486-5p","false","miR-486-5p"
"35251","MMP1","MMP1","false","MMP1"
"35188","miR-93-5p","miR-93-5p","false","miR-93-5p"
"35252","TNFRSF10B","TNFRSF10B","false","TNFRSF10B"
"35253","F3","F3","false","F3"
"35189","miR-191-5p","miR-191-5p","false","miR-191-5p"
"35255","CD40","CD40","false","CD40"
