"SUID","name","selected","shared name"
"111","RNY5-5p","false","RNY5-5p"
"1167","miR-192-5p","false","miR-192-5p"
"1168","miR-92a-3p","false","miR-92a-3p"
"210","TNFRSF1A","false","TNFRSF1A"
"89","CXCL1","false","CXCL1"
"157","HGF","false","HGF"
"191","TNFRSF10B","false","TNFRSF10B"
"127","PLAT","false","PLAT"
"192","SPON1","false","SPON1"
"1184","miR-150-5p","false","miR-150-5p"
"103","RNASE3","false","RNASE3"
"1160","miR-885-5p","false","miR-885-5p"
"137","F3","false","F3"
"1164","miR-122-5p","false","miR-122-5p"
"141","NT-pro-BNP","false","NT-pro-BNP"
"109","CSTB","false","CSTB"
